mode,size_bytes,size_kb,size_mb,elements,total_ns,ns_per_iter
sequential,142336,139.000000,0.135742,35584,40000,1.124101
random,142336,139.000000,0.135742,35584,1209300,33.984375
random_index,142336,139.000000,0.135742,35584,63900,1.795751
sequential,143360,140.000000,0.136719,35840,20700,0.577567
random,143360,140.000000,0.136719,35840,1218900,34.009487
random_index,143360,140.000000,0.136719,35840,38100,1.063058
sequential,144384,141.000000,0.137695,36096,39500,1.094304
random,144384,141.000000,0.137695,36096,1230100,34.078568
random_index,144384,141.000000,0.137695,36096,62600,1.734264
sequential,145408,142.000000,0.138672,36352,34600,0.951805
random,145408,142.000000,0.138672,36352,1432300,39.400858
random_index,145408,142.000000,0.138672,36352,92700,2.550066
sequential,146432,143.000000,0.139648,36608,39100,1.068073
random,146432,143.000000,0.139648,36608,1283300,35.055179
random_index,146432,143.000000,0.139648,36608,73400,2.005026
sequential,147456,144.000000,0.140625,36864,21200,0.575087
random,147456,144.000000,0.140625,36864,1252500,33.976237
random_index,147456,144.000000,0.140625,36864,38000,1.030816
sequential,148480,145.000000,0.141602,37120,34500,0.929418
random,148480,145.000000,0.141602,37120,1265700,34.097522
random_index,148480,145.000000,0.141602,37120,34800,0.937500
sequential,149504,146.000000,0.142578,37376,41900,1.121040
random,149504,146.000000,0.142578,37376,1307000,34.968964
random_index,149504,146.000000,0.142578,37376,49800,1.332406
sequential,150528,147.000000,0.143555,37632,35500,0.943346
random,150528,147.000000,0.143555,37632,1444100,38.374256
random_index,150528,147.000000,0.143555,37632,80500,2.139137
sequential,151552,148.000000,0.144531,37888,40500,1.068940
random,151552,148.000000,0.144531,37888,1501000,39.616765
random_index,151552,148.000000,0.144531,37888,57500,1.517631
sequential,152576,149.000000,0.145508,38144,24100,0.631816
random,152576,149.000000,0.145508,38144,1445700,37.901112
random_index,152576,149.000000,0.145508,38144,46700,1.224308
sequential,153600,150.000000,0.146484,38400,48900,1.273438
random,153600,150.000000,0.146484,38400,1463200,38.104167
random_index,153600,150.000000,0.146484,38400,48100,1.252604
sequential,154624,151.000000,0.147461,38656,27100,0.701055
random,154624,151.000000,0.147461,38656,2296200,59.400869
random_index,154624,151.000000,0.147461,38656,64500,1.668564
sequential,155648,152.000000,0.148438,38912,50400,1.295230
random,155648,152.000000,0.148438,38912,1464400,37.633635
random_index,155648,152.000000,0.148438,38912,46300,1.189864
sequential,156672,153.000000,0.149414,39168,23300,0.594873
random,156672,153.000000,0.149414,39168,1366000,34.875408
random_index,156672,153.000000,0.149414,39168,40800,1.041667
sequential,157696,154.000000,0.150391,39424,25500,0.646814
random,157696,154.000000,0.150391,39424,1440900,36.548803
random_index,157696,154.000000,0.150391,39424,37200,0.943588
sequential,158720,155.000000,0.151367,39680,53500,1.348286
random,158720,155.000000,0.151367,39680,1374300,34.634577
random_index,158720,155.000000,0.151367,39680,35800,0.902218
sequential,159744,156.000000,0.152344,39936,24100,0.603466
random,159744,156.000000,0.152344,39936,1388400,34.765625
random_index,159744,156.000000,0.152344,39936,44800,1.121795
sequential,160768,157.000000,0.153320,40192,23200,0.577229
random,160768,157.000000,0.153320,40192,1371000,34.111266
random_index,160768,157.000000,0.153320,40192,44600,1.109674
sequential,161792,158.000000,0.154297,40448,23400,0.578521
random,161792,158.000000,0.154297,40448,1377900,34.065961
random_index,161792,158.000000,0.154297,40448,42000,1.038370
sequential,162816,159.000000,0.155273,40704,23500,0.577339
random,162816,159.000000,0.155273,40704,1395400,34.281643
random_index,162816,159.000000,0.155273,40704,38300,0.940939
sequential,163840,160.000000,0.156250,40960,23600,0.576172
random,163840,160.000000,0.156250,40960,1394500,34.045410
random_index,163840,160.000000,0.156250,40960,51800,1.264648
sequential,164864,161.000000,0.157227,41216,36400,0.883152
random,164864,161.000000,0.157227,41216,1403500,34.052310
random_index,164864,161.000000,0.157227,41216,36200,0.878300
sequential,165888,162.000000,0.158203,41472,23900,0.576292
random,165888,162.000000,0.158203,41472,1417700,34.184510
random_index,165888,162.000000,0.158203,41472,65900,1.589024
sequential,166912,163.000000,0.159180,41728,51800,1.241373
random,166912,163.000000,0.159180,41728,1540600,36.920054
random_index,166912,163.000000,0.159180,41728,58700,1.406729
sequential,167936,164.000000,0.160156,41984,29000,0.690739
random,167936,164.000000,0.160156,41984,1621900,38.631383
random_index,167936,164.000000,0.160156,41984,56700,1.350514
sequential,168960,165.000000,0.161133,42240,26900,0.636837
random,168960,165.000000,0.161133,42240,1582900,37.473958
random_index,168960,165.000000,0.161133,42240,75200,1.780303
sequential,169984,166.000000,0.162109,42496,28200,0.663592
random,169984,166.000000,0.162109,42496,1616000,38.027108
random_index,169984,166.000000,0.162109,42496,41700,0.981269
sequential,171008,167.000000,0.163086,42752,28300,0.661957
random,171008,167.000000,0.163086,42752,1550700,36.271987
random_index,171008,167.000000,0.163086,42752,40100,0.937968
sequential,172032,168.000000,0.164062,43008,24800,0.576637
random,172032,168.000000,0.164062,43008,1463200,34.021577
